file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,791224d1,altilapia,2025-01-10,19:50:06,-08:00,2025-01-10T19:50:06-08:00,0,4
style.css,2,css,791224d1,altilapia,2025-01-10,19:50:06,-08:00,2025-01-10T19:50:06-08:00,2,23
style.css,3,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,15
style.css,4,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,18
style.css,5,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,19
style.css,6,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,18
style.css,7,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,31
style.css,8,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,9,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,10,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,23
style.css,11,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,12
style.css,12,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,13,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,14,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,6
style.css,15,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,16
style.css,16,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,17,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,18,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,3
style.css,19,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,12
style.css,20,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,18
style.css,21,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,41
style.css,22,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,10
style.css,23,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,24,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,25,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,6
style.css,26,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,12
style.css,27,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,9
style.css,28,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,8
style.css,29,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,15
style.css,30,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,10
style.css,31,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,22
style.css,32,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,33,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,34,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,6
style.css,35,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,17
style.css,36,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,13
style.css,37,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,38,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,39,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,5
style.css,40,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,6
style.css,41,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,17
style.css,42,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,14
style.css,43,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,20
style.css,44,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,13
style.css,45,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,0
style.css,46,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,47,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,13
style.css,48,css,ff112bb8,altilapia,2025-01-31,00:37:15,-08:00,2025-01-31T00:37:15-08:00,2,75
style.css,49,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,2,82
style.css,50,css,ff112bb8,altilapia,2025-01-31,00:37:15,-08:00,2025-01-31T00:37:15-08:00,1,0
style.css,51,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,52,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,11
style.css,53,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,81
style.css,54,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,1,82
style.css,55,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
style.css,56,css,596b6802,altilapia,2025-01-17,21:03:45,-08:00,2025-01-17T21:03:45-08:00,0,0
